fields,cpu_bilin,gpu_bilin,cpu_cubic,gpu_cubic,cpu_krig,gpu_krig
Time,46.0,71.5,653.0,246.0,705.5,358.5
MAE,6.74368,6.74368,6.30093,6.30093,4.98024,4.98024
RMSE,15.9349,15.9349,15.0715,15.0715,11.2783,11.2783
Max Error,414.333,414.333,529.75,529.75,342.524,342.524
