fields,cpu_bilin,gpu_bilin,cpu_cubic,gpu_cubic,cpu_krig,gpu_krig
Time,2.5,14.5,43.5,52.0,43.5,23.5
MAE,14.4228,14.4228,14.4862,14.4862,11.1512,11.1512
RMSE,24.8556,24.8556,25.9785,25.9785,19.4132,19.4132
Max Error,305.667,305.667,363.25,363.25,453.267,453.267
