fields,cpu_bilin,gpu_bilin,cpu_cubic,gpu_cubic,cpu_krig,gpu_krig
Time,9.0,18.5,127.0,80.5,141.5,72.5
MAE,33.5738,33.5738,35.7862,35.7862,28.0409,28.0409
RMSE,50.5098,50.5098,57.7545,57.7545,42.8661,42.8661
Max Error,693.333,693.333,755.0,755.0,1102.08,1102.08
